text,label,specific_label
"**YES BANK - CREDIT CARD APPLICATION**
Reference ID: 

PERSONAL INFORMATION
------------------
Name: Brittney Perez
Date of Birth: 1990-07-15
Mother's Name: 
Marital Status: 
Education: 

KYC DETAILS
----------
PAN Card Number: K1049
Aadhaar Number: 843144911769
Passport Number (Optional): 

CONTACT DETAILS
-------------
Mobile Number: 8969025277
Email ID: xkeller@example.org
Residence Address: 
City: Priscillachester
PIN Code: 55152
Years at Current Address: 

PROFESSIONAL INFORMATION
----------------------
Employment Type: 
Company Name: Fernandez-Hernandez
Designation: 
Work Experience: 
Monthly Income: 

BANKING RELATIONSHIP
------------------
Existing Yes Bank Account:   # Yes/No
Account Number: SKAV50093247673546
Savings/Current: Current

CARD PREFERENCE
-------------
Card Variant:   # Yes Prosperity/Yes First/Yes Premia
Annual Fee Option:   # Standard/Lifetime Free",bank,credit card details
"**BANK OF BARODA - KYC FORM**
Form Number: 712182

PERSONAL INFORMATION
-----------------
Customer Name: Jennifer Stevens
Father's/Spouse Name: Dwayne Garcia
Date of Birth: 1988-02-09
Gender: Male
Marital Status: Divorced

PROOF OF IDENTITY
---------------
PAN Number: C2118
Aadhaar Number: 75442561461
Passport Number: 
Other ID Type: 

ADDRESS DETAILS
-------------
Residential Address: 
Office Address: 
Correspondence Address: 
Proof Submitted: 

CONTACT INFORMATION
-----------------
Mobile Number: (766)577-5699x5284
Email Address: gjohnson@example.org
Landline Number: 6694777140

OCCUPATION & INCOME
----------------
Occupation: Retired
Annual Income: 
Source of Income: Salary
Employer Details: Jones-Figueroa",bank,kyc details
"**STATE BANK OF INDIA - LOAN APPLICATION**
Application Reference: c90d8f91-fca6-4258-9b5e-9b9ddfcfe9f4
Branch Code: 37425

PERSONAL DETAILS
-----------------
Applicant Name: Jessica Hopkins
Date of Birth: 1959-02-02
PAN Card Number: K2499
Aadhaar Number: 366335799450
Mobile Number: (315)770-0675x80002
Email ID: nicolas22@example.org

RESIDENCE DETAILS
----------------
Current Address: 5110 Victor Pike Suite 876
Janicestad, VT 24123
City: South Amberborough
PIN Code: 70651
Residence Status: Company Provided  # Owned/Rented/Company Provided
Years at Current Address: 16

EMPLOYMENT DETAILS
-----------------
Occupation Type: Self-Employed  # Salaried/Self-Employed/Business
Company Name: Daniels LLC
Annual Income: 500000
Years in Current Job: 12

LOAN DETAILS
-----------
Loan Type: Home  # Home/Personal/Vehicle/Education
Loan Amount Required: 50000
Loan Tenure (Years): 10
Purpose of Loan: Car Purchase

EXISTING LOANS
-------------
Any Existing Loans: No  # Yes/No
Total EMI Amount: 20000",bank,loan details
"**HDFC BANK - ACCOUNT CLOSURE APPLICATION**
Application ID: 

PRIMARY ACCOUNT HOLDER
-------------------
Full Name: 
Customer ID: 
Contact Number: 
Email Address: jenniferfreeman@example.com

ACCOUNT INFORMATION
-----------------
Account Number: MYIE57775271251183
Account Type: Savings
Home Branch: 
Account Opening Date: 

CLOSURE REQUEST
-------------
Primary Reason: 
Detailed Reason: 
Preferred Closure Date: 

SETTLEMENT INSTRUCTIONS
--------------------
Settlement Method:   # NEFT/RTGS/DD/Cash
Beneficiary Details:
    Name: 
    Account Number: 
    Bank & Branch: 
    IFSC Code: 

PRODUCT SURRENDERS
---------------
Debit Card: 
Credit Card Linked:   # Yes/No
Investment Accounts:   # Yes/No
Locker Facility:   # Yes/No",bank,account closure details
"**AXIS BANK - ACCOUNT CLOSURE REQUEST**
Form Number: 

ACCOUNT HOLDER INFORMATION
-----------------------
Name: Kathryn Allen
Customer ID: 
Contact Details:
    Mobile: 8384381678
    Email: matthew13@example.com

ACCOUNT DETAILS
-------------
Account Number: KBSG17072308792225
Type of Account: Current
Branch Name: 
IFSC Code: 

CLOSURE REQUEST DETAILS
--------------------
Reason for Closure: 
Preferred Closure Date: 
Balance Amount: 
Settlement Instructions: 

LINKED PRODUCTS
-------------
Debit Card Number: 2743324170253174
Credit Card Linkage: 
Investment Account: 
Loan Account: 

DECLARATIONS
----------
Pending Charges: 
Unused Cheques: 3
Standing Instructions: Yes",bank,account closure details
"**UNION BANK OF INDIA - FIXED DEPOSIT APPLICATION**
Reference Number: 

CUSTOMER DETAILS
-------------
Full Name: 
Customer ID: 
PAN Number: Z3251
Mobile: 971.848.9440
Email: raymondjoshua@example.org
Category: 

DEPOSIT SCHEME
------------
Deposit Type: Tax Saving
Amount: 
Tenure: 
Interest Rate: 6.4381766780666485
Interest Frequency: 

FUNDING DETAILS
-------------
Debit Account: 
Branch Name: Jamestown
Mode of Funding: 

MATURITY PROFILE
-------------
Maturity Instructions: 
Auto Renewal: 
Settlement Account: 

NOMINEE DETAILS
-------------
Nominee Name: Mrs. Ashley York
Relationship: 
Date of Birth: 1975-05-09
Guardian Details:",bank,fixed deposit details
"**BANK OF BARODA - PASSBOOK**
Branch: Walton Ltd
IFSC Code: CBWQ53890057511343

ACCOUNT DETAILS
-------------
Customer Name: Joseph Shannon
Account Number: 893058773
Scheme Code: 37262
Customer ID: 6834931831
Account Opening Date: 2004-06-17

TRANSACTION RECORD
---------------
Tran Date | Particulars | Instrument No | Debit | Credit | Balance
 | section | 7267644368 | 5000 | 10000 | 50000

Please quote your account number in all correspondence",bank,passbook details
"**YES BANK - DEBIT CARD APPLICATION**
Reference ID: 

ACCOUNT INFORMATION
-----------------
Account Name: 
Account Number: KTHU77648537008924
Customer ID: 
Branch Name: Carlsonborough

KYC DETAILS
----------
Date of Birth: 1989-04-17
PAN Number: Q3698
Aadhaar Number: 303912708568
Mobile Number: 256-592-4798x811
Email: dsmith@example.com

CARD SELECTION
------------
Card Variant: Gold  # Classic/Gold/Platinum
Network Preference: 
Daily Limits:
    ATM Withdrawal: 48041
    Shopping: 28820
International Enabled:",bank,debit card details
"**UNION BANK OF INDIA - FIXED DEPOSIT APPLICATION**
Reference Number: 

CUSTOMER DETAILS
-------------
Full Name: 
Customer ID: 
PAN Number: A3744
Mobile: 4023591866
Email: elizabeth98@example.net
Category: 

DEPOSIT SCHEME
------------
Deposit Type: Senior Citizen
Amount: 
Tenure: 
Interest Rate: 5.1736746731497965
Interest Frequency: 

FUNDING DETAILS
-------------
Debit Account: 
Branch Name: New Sarah
Mode of Funding: 

MATURITY PROFILE
-------------
Maturity Instructions: 
Auto Renewal: 
Settlement Account: 

NOMINEE DETAILS
-------------
Nominee Name: Kayla Wilkins
Relationship: 
Date of Birth: 2003-07-05
Guardian Details:",bank,fixed deposit details
"**CANARA BANK - PASSBOOK**
Branch: Baker, Payne and Evans
IFSC Code: AZHG36470109242114

ACCOUNT DETAILS
-------------
Name of Account Holder: Mario Young
Account Number: 7246520169
Type of Account: NRI
Customer ID: 8591469064
Mobile Number: 2939765006

TRANSACTION ENTRIES
----------------
Date | Description | Ref.No/Cheque | Debit | Credit | Balance
2024-11-29 | fund | 206901 | 10000 | 2000 | 50000

Please keep your passbook updated",bank,passbook details
"**CANARA BANK - PASSBOOK**
Branch: Richard-Fields
IFSC Code: KMVZ63976486087465

ACCOUNT DETAILS
-------------
Name of Account Holder: Scott Mcintyre
Account Number: 6524237338
Type of Account: Current
Customer ID: 4053076595
Mobile Number: 001-764-865-1597

TRANSACTION ENTRIES
----------------
Date | Description | Ref.No/Cheque | Debit | Credit | Balance
2024-09-19 | growth | 13270 | 10000 | 2000 | 20000

Please keep your passbook updated",bank,passbook details
"**STATE BANK OF INDIA - LOAN APPLICATION**
Application Reference: 72f16286-6349-4f52-9b55-efd1fc42e7f6
Branch Code: 46687

PERSONAL DETAILS
-----------------
Applicant Name: Sydney Walsh
Date of Birth: 1970-03-31
PAN Card Number: U2715
Aadhaar Number: 891495405652
Mobile Number: 8159919375
Email ID: nealcody@example.net

RESIDENCE DETAILS
----------------
Current Address: 378 Michael Wells
Wolfefurt, VT 80893
City: Bowersside
PIN Code: 61927
Residence Status: Rented  # Owned/Rented/Company Provided
Years at Current Address: 19

EMPLOYMENT DETAILS
-----------------
Occupation Type: Salaried  # Salaried/Self-Employed/Business
Company Name: Ware, Blackwell and Wilson
Annual Income: 500000
Years in Current Job: 20

LOAN DETAILS
-----------
Loan Type: Education  # Home/Personal/Vehicle/Education
Loan Amount Required: 50000
Loan Tenure (Years): 5
Purpose of Loan: Business Expansion

EXISTING LOANS
-------------
Any Existing Loans: No  # Yes/No
Total EMI Amount: 15000",bank,loan details
"**ICICI BANK - FIXED DEPOSIT APPLICATION**
Reference Number: 

CUSTOMER INFORMATION
-----------------
Name: 
Customer ID: 
PAN: 
Mobile: 533.557.1840
Email: michaelbishop@example.com
Category:   # General/Senior Citizen

DEPOSIT REQUIREMENTS
-----------------
Deposit Amount: 382219
Deposit Period: 2 Years
Interest Rate: 7.03309153705909
Deposit Type: Tax Saving  # Cumulative/Non-Cumulative
Interest Payout Option: 

SOURCE OF FUNDS
-------------
Account Number: KLZF71925823887069
Branch Name: New Anthonymouth
Mode of Funding: 

MATURITY DETAILS
--------------
Maturity Instructions: Credit to Account
Auto Renewal Terms: 
Payout Account: 

NOMINEE INFORMATION
----------------
Nominee Name: Peter Farrell
Relationship: 
Date of Birth: 1972-07-04
Guardian Details:   # If nominee is minor",bank,fixed deposit details
"**UNION BANK OF INDIA - KYC FORM**
Reference Number: 

CUSTOMER DETAILS
--------------
Full Name: 
Date of Birth: 1998-02-08
Gender: Other
Nationality: Palestinian Territory
Category: 

IDENTITY DOCUMENTS
---------------
PAN Number: G7195
Aadhaar Number: 664098938816
Voter ID: T6949757045
Other ID: 

ADDRESS INFORMATION
----------------
Current Address: 1851 Johnson Court
Virginiastad, RI 81565
Permanent Address: 60947 Ryan Trafficway Suite 447
Brownton, AL 49988
Address Proof: 

CONTACT DETAILS
-------------
Mobile Number: 001-372-593-5978
Email ID: douglas65@example.org
Alternate Number: 

OCCUPATION DETAILS
---------------
Occupation Type: Student
Annual Income: 
Source of Funds:",bank,kyc details
"**STATE BANK OF INDIA - DEBIT CARD APPLICATION**
Application Reference: d63cb06f-ff02-4667-959c-fa827f7aed89
Branch Code: 900640

ACCOUNT DETAILS
--------------
Account Holder Name: Heather Walter PhD
Account Number: FNMJ41895340556664
Account Type: Current  # Savings/Current/NRE/NRO
Customer ID: 
Branch Name: North Carriefurt

PERSONAL DETAILS
--------------
Date of Birth: 1995-07-28
PAN Number: J3047
Aadhaar Number: 529959953274
Mobile Number: 552.773.6850
Email ID: orodriguez@example.org

CARD REQUIREMENTS
---------------
Card Variant: EasyShop  # Global/Classic/Gold/Platinum
Card Network: Mastercard  # RuPay/Visa/Mastercard
International Usage: Yes  # Yes/No
Daily ATM Limit: 35690
Daily POS Limit: 11867",bank,debit card details
"**AXIS BANK - CREDIT CARD APPLICATION**
Application Number: 

PERSONAL DETAILS
---------------
Applicant's Name: 
Date of Birth: 1965-08-22
PAN Number: P1164
Aadhaar Number: 882051255281

CONTACT INFORMATION
------------------
Mobile: 
Email: 
Current Address: 217 Ashley Place
Ryanborough, UT 32662
Permanent Address: 7597 Michele Lights
Michaelview, NC 76055

PROFESSIONAL DETAILS
-------------------
Employment Status: 
Current Employer: 
Monthly Salary: 
Office Address: 

BANK RELATIONSHIP
----------------
Existing Axis Account: 
Account Number: WYBP00665789419506
Account Type: Current
Branch: North Jessicaton

CARD PREFERENCES
---------------
Desired Card Type: Signature  # My Zone/Neo/Magnus/Privilege
Credit Limit Expected:",bank,credit card details
"**ICICI BANK - DEBIT CARD APPLICATION**
Reference Number: 

ACCOUNT DETAILS
-------------
Primary Account Holder: 
Account Number: AGFO39448903933702
Account Type: Savings
Customer ID: 
Branch: 

PERSONAL INFORMATION
------------------
Date of Birth: 1957-03-21
PAN Card Number: N4781
Aadhaar Number: 43465097892
Mobile Number: 951-865-4346
Email ID: cardenassusan@example.com

CARD REQUIREMENTS
---------------
Card Variant: Platinum  # Coral/Sapphiro/Expression
Card Network:   # Visa/Mastercard/RuPay
International Transactions: Yes
Daily Transaction Limits:
    ATM: 6821
    POS: 48509
    E-commerce: 40309",bank,debit card details
"**BANK OF BARODA - PASSBOOK**
Branch: Gonzalez-Gutierrez
IFSC Code: RWMZ92983214087576

ACCOUNT DETAILS
-------------
Customer Name: James King
Account Number: 1381822042
Scheme Code: 2030
Customer ID: 7283658326
Account Opening Date: 2013-05-30

TRANSACTION RECORD
---------------
Tran Date | Particulars | Instrument No | Debit | Credit | Balance
 | she | 2994011236 | 1000 | 10000 | 20000

Please quote your account number in all correspondence",bank,passbook details
"**PUNJAB NATIONAL BANK - PASSBOOK**
Branch: Bernard, Sutton and Clark
Branch Code: 68551
IFSC: JKBZ99789375017645

ACCOUNT DETAILS
-------------
Name: Justin Thomas
Account No.: 8202598812
Type: Current
Customer ID: 9193254200
Mobile: 318-779-6488

TRANSACTION RECORD
---------------
Date | Particulars | Instrument No | Debit | Credit | Balance
2024-12-06 | away | 5563761111 | 5000 | 10000 | 10000

Keep your passbook updated regularly",bank,passbook details
"**STATE BANK OF INDIA - CREDIT CARD APPLICATION**
Application Reference: 4c8a2ffe-178c-41cd-9a1e-1c206ede307c
Branch Code: 536229


PERSONAL DETAILS
-----------------
Applicant Name: Jason Evans
Date of Birth: 1966-07-01
PAN Card Number: Q5790
Aadhaar Number: 381751768464
Mobile Number: (859)475-6452x4020
Email ID: margaret93@example.org

RESIDENCE DETAILS
----------------
Current Address: 723 Jeffrey Pike
Fisherton, PR 08959
City: Robertsfurt
PIN Code: 47316
Residence Status: Rented  # Owned/Rented/Company Provided

EMPLOYMENT DETAILS
-----------------
Occupation Type: Business  # Salaried/Self-Employed/Business
Company Name: West, Miller and Palmer
Annual Income: 797505
Years in Current Job: 15

BANK DETAILS
-----------
SBI Account Number: ZPDU38990961829119
Account Type: Current
Branch Name: South Laurachester
Account Opening Date: 2022-09-25

CARD PREFERENCES
---------------
Card Type Requested: Signature  # Simply Save/Elite/Prime/Signature",bank,credit card details
"**ICICI BANK - FIXED DEPOSIT APPLICATION**
Reference Number: 

CUSTOMER INFORMATION
-----------------
Name: 
Customer ID: 
PAN: 
Mobile: 533.557.1840
Email: michaelbishop@example.com
Category:   # General/Senior Citizen

DEPOSIT REQUIREMENTS
-----------------
Deposit Amount: 382219
Deposit Period: 2 Years
Interest Rate: 7.03309153705909
Deposit Type: Tax Saving  # Cumulative/Non-Cumulative
Interest Payout Option: 

SOURCE OF FUNDS
-------------
Account Number: KLZF71925823887069
Branch Name: New Anthonymouth
Mode of Funding: 

MATURITY DETAILS
--------------
Maturity Instructions: Credit to Account
Auto Renewal Terms: 
Payout Account: 

NOMINEE INFORMATION
----------------
Nominee Name: Peter Farrell
Relationship: 
Date of Birth: 1972-07-04
Guardian Details:   # If nominee is minor",bank,fixed deposit details
"**PUNJAB NATIONAL BANK - FIXED DEPOSIT APPLICATION**
Reference Number: 08013390-8a21-4629-a21f-9ee24e0be578

DEPOSITOR INFORMATION
------------------
Name: 
Customer ID: 
PAN Number: W2358
Mobile: 750.703.2850
Email: smithlinda@example.net
Category: 

DEPOSIT SCHEME
------------
Scheme Name: 
Deposit Amount: 27687
Period: 9 Years
Rate of Interest: 7.095750986469399
Interest Frequency: 

ACCOUNT DETAILS
-------------
Source Account: GGVR51181599133976
Branch Name: West Brianton
Mode of Operation: Single

MATURITY DETAILS
-------------
Maturity Instructions: 
Auto Renewal: 
Credit Account: BYXB41690595986913

NOMINATION
---------
Nominee Name: Cathy Dean
Relationship: 
Nominee DOB: 1955-01-05",bank,fixed deposit details
"**AXIS BANK - DEBIT CARD APPLICATION**
Application Number: 

ACCOUNT INFORMATION
-----------------
Account Name: 
Account Number: WOND15699185724956
Account Type: Current
CIF Number: 
Branch: 

CONTACT DETAILS
-------------
Mobile Number: (496)612-3561
Email ID: williamsandrew@example.net
Communication Address: 

CARD PREFERENCES
--------------
Card Variant: EasyShop  # Easy/Prime/Priority
Card Network: 
Daily Limits:
    Cash Withdrawal: 
    Purchase: 
E-commerce Enabled:   # Yes/No",bank,debit card details
"**KOTAK MAHINDRA BANK - PASSBOOK**
Home Branch: Downs, Johnson and Hunter
IFSC: RAEN91672199367478

ACCOUNT INFORMATION
-----------------
Account Holder: Juan Shepherd
Account Number: 8433953117
Scheme Code: 93131
Customer Relationship No: 69783346
Account Opening Date: 2004-03-05

TRANSACTION DETAILS
-----------------
Post Date | Value Date | Transaction Description | Chq/Ref No | Debit | Credit | Balance
 | 2024-10-05 | billion | 563323 | 1000 | 500 | 20000

Please inform the bank of any change in your contact details",bank,passbook details
"**BANK OF BARODA - PASSBOOK**
Branch: Walton Ltd
IFSC Code: CBWQ53890057511343

ACCOUNT DETAILS
-------------
Customer Name: Joseph Shannon
Account Number: 893058773
Scheme Code: 37262
Customer ID: 6834931831
Account Opening Date: 2004-06-17

TRANSACTION RECORD
---------------
Tran Date | Particulars | Instrument No | Debit | Credit | Balance
 | section | 7267644368 | 5000 | 10000 | 50000

Please quote your account number in all correspondence",bank,passbook details
"**HDFC BANK - DEBIT CARD APPLICATION**
Application ID: 

ACCOUNT INFORMATION
-----------------
Account Holder: 
Account Number: JYNM66605035241228
Account Type: Savings
Customer ID: 
Home Branch: 

PERSONAL DETAILS
--------------
Date of Birth: 1955-05-23
PAN Number: J8536
Mobile Number: (216)979-0660
Email Address: melissashaw@example.net

CARD PREFERENCES
--------------
Card Type:   # EasyShop/Premium/Business
Card Design:   # Standard/Custom
ATM Withdrawal Limit: 6595
Shopping Limit: 24234
SMS Alerts: No  # Yes/No",bank,debit card details
"**KOTAK MAHINDRA BANK - KYC FORM**
Application ID: 

CUSTOMER INFORMATION
-----------------
Full Name: 
Date of Birth: 1972-04-01
Place of Birth: 
Mother's Name: Brenda Barrera
Father's Name: 

IDENTITY DETAILS
--------------
PAN Number: S2318
Aadhaar Number: 956186495500
Voter ID: S3434741384
Driving License: Z1382072004

CONTACT & ADDRESS
---------------
Mobile Number: +1-308-768-9282x35885
Email ID: james82@example.net
Current Address: 633 Randall Orchard Apt. 363
Jaclynview, MS 94134
Permanent Address: 735 Simpson Curve Apt. 495
Garyfort, AZ 31503
Residence Type: Leased

OCCUPATION DETAILS
----------------
Occupation: Student
Employer/Business: Hernandez LLC
Work Address: 
Annual Income: 

FATCA/CRS DETAILS
---------------
Tax Residency: 
FATCA Status: 
CRS Declaration:",bank,kyc details
"**AXIS BANK - KYC APPLICATION**
Form Number: 98486

PERSONAL DETAILS
--------------
Name: 
Date of Birth: 2006-09-29
Gender: Female
Nationality: Cuba
Resident Status: 

IDENTIFICATION
------------
PAN Number: E3081
Aadhaar Number: 267402672124
Passport Number: 
Other ID Type: 
Other ID Number: 

ADDRESS DETAILS
-------------
Residential Address: 
Office Address: 
Preferred Mailing: 
Proof Submitted: 

CONTACT INFORMATION
-----------------
Mobile Number: 001-844-509-5275
Email Address: uingram@example.com
Alternate Contact: 

OCCUPATION & INCOME
----------------
Occupation Type: Student
Industry: 
Annual Income: 
Source of Wealth: 

ACCOUNT RELATED
-------------
Account Type: Current
Banking Purpose: 
Expected Turnover:",bank,kyc details
