information,label,specific_label
"
**PUNJAB NATIONAL BANK - LOAN APPLICATION**
Application Number: 
Branch: 

PERSONAL INFORMATION
------------------
Applicant Name: 
Father's/Spouse Name: 
Date of Birth: 1956-04-06
Gender: 
Category:   # General/SC/ST/OBC
Nationality: 

IDENTIFICATION DETAILS
-------------------
PAN Number: M8974
Aadhaar Number: 75552682179
Voter ID: 
Driving License: 

CONTACT DETAILS
-------------
Mobile Number: +1-768-960-4587
Landline: 
Email: walshcharles@example.net
Present Address: 
Permanent Address: 
PIN Code: 95549

EMPLOYMENT & INCOME
----------------
Occupation: Self-Employed
Employer/Business Name: 
Work Experience: 
Monthly Income: 25000
Other Income: Investments
Annual Turnover: 

LOAN REQUIREMENTS
--------------
Loan Type: Home  # Housing/Vehicle/Education/Personal
Amount Required: 1000000
Tenure Required: 5
Purpose: 
Security Offered: 

EXISTING LIABILITIES
-----------------
Existing Loans: 
Total EMI: 5000
Other Liabilities: 
",loan,loan details
"
**PUNJAB NATIONAL BANK - LOAN APPLICATION**
Application Number: 
Branch: 

PERSONAL INFORMATION
------------------
Applicant Name: 
Father's/Spouse Name: 
Date of Birth: 1967-03-30
Gender: 
Category:   # General/SC/ST/OBC
Nationality: 

IDENTIFICATION DETAILS
-------------------
PAN Number: V8942
Aadhaar Number: 103182959144
Voter ID: 
Driving License: 

CONTACT DETAILS
-------------
Mobile Number: 466.848.7691
Landline: 
Email: michaeldavies@example.org
Present Address: 
Permanent Address: 
PIN Code: 17243

EMPLOYMENT & INCOME
----------------
Occupation: Self-Employed
Employer/Business Name: 
Work Experience: 
Monthly Income: 45000
Other Income: Freelancing
Annual Turnover: 

LOAN REQUIREMENTS
--------------
Loan Type: Personal  # Housing/Vehicle/Education/Personal
Amount Required: 500000
Tenure Required: 20
Purpose: 
Security Offered: 

EXISTING LIABILITIES
-----------------
Existing Loans: 
Total EMI: 1000
Other Liabilities: 
",loan,loan details
"
**YES BANK - LOAN APPLICATION**
Reference Number: 1e8b6136-f72d-4ac6-93ca-30b01a7c5f09

APPLICANT DETAILS
---------------
Name: 
Date of Birth: 1963-03-10
Gender: 
Marital Status: 
Education: 

KYC INFORMATION
-------------
PAN Number: Q6548
Aadhaar Number: 123696278571
Address Proof Type: 
Address Proof Number: 

CONTACT INFORMATION
----------------
Mobile Number: 535.917.7201x813
Email ID: ashleybartlett@example.net
Current Address: USNS Wilkinson
FPO AA 73827
Permanent Address: 
Years at Current Address: 20

EMPLOYMENT DETAILS
---------------
Employment Type: 
Company/Business Name: Lewis Group
Designation: 
Total Experience: 12
Current Experience: 

INCOME DETAILS
------------
Gross Monthly Income: 25000
Net Monthly Income: 
Other Income: Rent
Income Source: 

LOAN DETAILS
----------
Product Type: Home
Required Amount: 300000
Tenure (Months): 
Purpose of Loan: 
Collateral Details: 

EXISTING RELATIONSHIPS
------------------
Existing Customer: 
Products Held: 
Account Number: 7099290448
",loan,loan details
"
**YES BANK - LOAN APPLICATION**
Reference Number: a897b182-2947-4408-bf52-680067ea1c2a

APPLICANT DETAILS
---------------
Name: 
Date of Birth: 1965-04-18
Gender: 
Marital Status: 
Education: 

KYC INFORMATION
-------------
PAN Number: J510
Aadhaar Number: 624754963222
Address Proof Type: 
Address Proof Number: 

CONTACT INFORMATION
----------------
Mobile Number: 334-978-2830x701
Email ID: peterskevin@example.com
Current Address: 904 Miller Loop
North Sierrastad, HI 48988
Permanent Address: 
Years at Current Address: 5

EMPLOYMENT DETAILS
---------------
Employment Type: 
Company/Business Name: Rodriguez-Moore
Designation: 
Total Experience: 3
Current Experience: 

INCOME DETAILS
------------
Gross Monthly Income: 35000
Net Monthly Income: 
Other Income: Investments
Income Source: 

LOAN DETAILS
----------
Product Type: Home
Required Amount: 500000
Tenure (Months): 
Purpose of Loan: 
Collateral Details: 

EXISTING RELATIONSHIPS
------------------
Existing Customer: 
Products Held: 
Account Number: 1164112735
",loan,loan details
"
**CANARA BANK - LOAN APPLICATION**
Application Number: 
Branch: 

PERSONAL DETAILS
--------------
Full Name: 
Father's/Spouse Name: 
Date of Birth: 1958-10-15
Age: 
Gender: 
Category:   # General/SC/ST/OBC

IDENTITY DETAILS
--------------
PAN Number: P5269
Aadhaar Number: 758116566439
Voter ID: 
Driving License: 

ADDRESS DETAILS
-------------
Present Address: 
Permanent Address: 
PIN Code: 85445
Contact Numbers:
    Mobile: 200-391-9198x908
    Residence: 
Email: johnsonbenjamin@example.com

OCCUPATION & INCOME
----------------
Nature of Occupation: Salaried
Employer/Business: 
Annual Income: 300000
Other Income: Rent
Total Experience: 

LOAN REQUEST
----------
Type of Loan: Personal
Amount Required: 1000000
Repayment Period: 
Purpose: 
Security Offered: 

BANK ACCOUNT DETAILS
-----------------
Account Number: 2681181735
Account Type: Savings
IFSC Code: 
Customer ID: 
",loan,loan details
"
**CANARA BANK - LOAN APPLICATION**
Application Number: 
Branch: 

PERSONAL DETAILS
--------------
Full Name: 
Father's/Spouse Name: 
Date of Birth: 1979-01-24
Age: 
Gender: 
Category:   # General/SC/ST/OBC

IDENTITY DETAILS
--------------
PAN Number: E9168
Aadhaar Number: 90484340185
Voter ID: 
Driving License: 

ADDRESS DETAILS
-------------
Present Address: 
Permanent Address: 
PIN Code: 43189
Contact Numbers:
    Mobile: 001-343-582-9708x1664
    Residence: 
Email: hspencer@example.net

OCCUPATION & INCOME
----------------
Nature of Occupation: Salaried
Employer/Business: 
Annual Income: 500000
Other Income: Investments
Total Experience: 

LOAN REQUEST
----------
Type of Loan: Education
Amount Required: 50000
Repayment Period: 
Purpose: 
Security Offered: 

BANK ACCOUNT DETAILS
-----------------
Account Number: 2265597116
Account Type: Savings
IFSC Code: 
Customer ID: 
",loan,loan details
"
**UNION BANK OF INDIA - LOAN APPLICATION**
Reference Number: ad7b3785-35e7-4562-abc2-aac8f15af144

APPLICANT INFORMATION
------------------
Name: Rachel Roberts
Date of Birth: 1979-12-18
Age: 
Gender: 
Marital Status: 
Category:   # General/SC/ST/OBC

IDENTIFICATION
------------
PAN Number: A7925
Aadhaar Number: 69689375821
Voter ID: 

CONTACT DETAILS
-------------
Mobile Number: +1-503-737-5819
Alternative Number: 
Email: brooke37@example.net
Residential Address: 
Office Address: 981 Wang Row
Josephland, OR 56527

EMPLOYMENT DETAILS
---------------
Occupation: Self-Employed
Employer/Business Name: 
Years in Current Job/Business: 
Total Experience: 7

INCOME DETAILS
------------
Gross Monthly Income: 35000
Annual Income: 800000
Other Income Sources: Investments
ITR for Last 2 Years: 

LOAN REQUIREMENTS
--------------
Loan Scheme: 
Amount Required: 
Tenure Required: 
Purpose: 
Security Details: 

EXISTING FACILITIES
----------------
Existing Loans: 
Total EMI: 
Credit Card Dues: 
",loan,loan details
"
**UNION BANK OF INDIA - LOAN APPLICATION**
Reference Number: 0f8a18e3-aa3a-4747-9ea2-e589364352fa

APPLICANT INFORMATION
------------------
Name: Ashley Cox
Date of Birth: 1955-07-01
Age: 
Gender: 
Marital Status: 
Category:   # General/SC/ST/OBC

IDENTIFICATION
------------
PAN Number: U6454
Aadhaar Number: 181793525129
Voter ID: 

CONTACT DETAILS
-------------
Mobile Number: 222-499-2658x20734
Alternative Number: 
Email: rogersjasmine@example.net
Residential Address: 
Office Address: 3097 Jason Circles
South Meaganville, NE 20548

EMPLOYMENT DETAILS
---------------
Occupation: Salaried
Employer/Business Name: 
Years in Current Job/Business: 
Total Experience: 1

INCOME DETAILS
------------
Gross Monthly Income: 45000
Annual Income: 800000
Other Income Sources: Rent
ITR for Last 2 Years: 

LOAN REQUIREMENTS
--------------
Loan Scheme: 
Amount Required: 
Tenure Required: 
Purpose: 
Security Details: 

EXISTING FACILITIES
----------------
Existing Loans: 
Total EMI: 
Credit Card Dues: 
",loan,loan details
"
**BANK OF BARODA - LOAN APPLICATION**
Application Number: 

PERSONAL DETAILS
--------------
Applicant Name: 
Father's/Spouse Name: 
Date of Birth: 2004-02-06
Gender: 
Marital Status: 
Category: 

IDENTITY VERIFICATION
------------------
PAN Number: L5228
Aadhaar Number: 21342887754
Voter ID: 
Passport Number: 

CONTACT INFORMATION
----------------
Mobile Number: 882-343-9418
Landline Number: 
Email Address: jesuswilson@example.com
Current Address: 655 Grant Highway
North Lisaborough, MI 63101
Permanent Address: 

EMPLOYMENT INFORMATION
-------------------
Occupation Type: 
Employer/Business Name: 
Designation: 
Work Experience: 
Business/Office Address: 

FINANCIAL DETAILS
--------------
Monthly Income: 60000
Annual Income: 800000
Other Income: Freelancing
Income Source: 

LOAN DETAILS
----------
Loan Type: Education
Amount Required: 50000
Tenure (Months): 
Purpose of Loan: 
Security Offered: 

BANKING RELATIONSHIP
-----------------
Existing Customer: 
Account Number: 1704402830
Branch Name: 
Other Banking Relations: 
",loan,loan details
"
**BANK OF BARODA - LOAN APPLICATION**
Application Number: 

PERSONAL DETAILS
--------------
Applicant Name: 
Father's/Spouse Name: 
Date of Birth: 1977-05-25
Gender: 
Marital Status: 
Category: 

IDENTITY VERIFICATION
------------------
PAN Number: Q9980
Aadhaar Number: 921529624946
Voter ID: 
Passport Number: 

CONTACT INFORMATION
----------------
Mobile Number: 5003350265
Landline Number: 
Email Address: kyle82@example.org
Current Address: 800 Johnston Camp
Joanshire, AK 59962
Permanent Address: 

EMPLOYMENT INFORMATION
-------------------
Occupation Type: 
Employer/Business Name: 
Designation: 
Work Experience: 
Business/Office Address: 

FINANCIAL DETAILS
--------------
Monthly Income: 60000
Annual Income: 500000
Other Income: Freelancing
Income Source: 

LOAN DETAILS
----------
Loan Type: Vehicle
Amount Required: 500000
Tenure (Months): 
Purpose of Loan: 
Security Offered: 

BANKING RELATIONSHIP
-----------------
Existing Customer: 
Account Number: 2377856528
Branch Name: 
Other Banking Relations: 
",loan,loan details
